coincidences discrepancies reprod_index
7621078 203 0 1
7557915 209 0 1
7544749 208 0 1
7539978 207 0 1
7550534 212 0 1
7526207 208 0 1
7551842 202 0 1
7540303 205 0 1
7566973 215 0 1
7628887 213 0 1
7531017 200 0 1
7530647 211 0 1
7555679 200 0 1
7549819 217 0 1
7618715 196 0 1
7533435 211 0 1
7556228 203 0 1
7553380 198 0 1
7538763 209 0 1
7572094 199 0 1
7538660 214 0 1
7540994 209 0 1
7529842 197 0 1
7603221 202 0 1
7602687 213 0 1
7538227 210 0 1
7531210 198 0 1
7568346 209 0 1
7562477 202 0 1
7564080 202 0 1
7541450 200 0 1
7544723 214 0 1
9846695 219 0 1
7532459 206 0 1
7529776 211 0 1
7558314 195 0 1
7540857 214 0 1
7526870 202 0 1
7549679 210 0 1
7568826 204 0 1
7626009 194 0 1
7539752 219 0 1
7623764 204 0 1
7547020 213 0 1
7566845 208 0 1
7533414 205 0 1
7567854 204 0 1
7531141 189 0 1
7538592 213 0 1
7566123 205 0 1
7569362 205 0 1
7561747 203 0 1
7533076 212 0 1
7540510 200 0 1
7531719 198 0 1
7540953 195 0 1
7540305 220 0 1
7566918 211 0 1
7602152 210 0 1
7540732 214 0 1
7573073 208 0 1
7563861 213 0 1
7562402 212 0 1
7571343 209 0 1
7545349 213 0 1
7531514 204 0 1
7527513 199 0 1
7559718 198 0 1
7535108 208 0 1
7546067 206 0 1
7569761 201 0 1
7573600 192 0 1
7554682 213 0 1
7601487 194 0 1
7571870 206 0 1
7525824 197 0 1
7571450 203 0 1
7568905 210 0 1
7537969 197 0 1
7569189 208 0 1
7561363 211 0 1
7574361 209 0 1
7526989 197 0 1
7539757 203 0 1
7572886 205 0 1
7561282 204 0 1
7531015 209 0 1
7525704 216 0 1
7544899 213 0 1
7529988 201 0 1
7569936 209 0 1
7572737 215 0 1
7622470 217 0 1
9847691 216 0 1
7564599 206 0 1
7540507 214 0 1
7544678 196 0 1
7566851 214 0 1
7561913 207 0 1
7599698 209 0 1
7631346 218 0 1
7546136 202 0 1
7621221 201 0 1
7529328 214 0 1
7534616 213 0 1
7628218 204 0 1
7528924 207 0 1
7547669 202 0 1
7547646 200 0 1
7530868 203 0 1
7545755 191 0 1
7540683 202 0 1
7558205 209 0 1
7574652 204 0 1
7550194 211 0 1
7540144 211 0 1
7526863 209 0 1
7535842 207 0 1
7569868 190 0 1
7535013 216 0 1
7557927 207 0 1
7565578 209 0 1
7540320 208 0 1
7531952 212 0 1
7534053 213 0 1
7571621 214 0 1
7630166 201 0 1
7525730 215 0 1
7527160 196 0 1
7531383 211 0 1
7550625 200 0 1
7560278 213 0 1
7540564 206 0 1
7549924 214 0 1
